Number Insured,Number Uninsured,Age Category,County,Percentage Insured,Percentage Uninsured
19793,3089,50 to 64 years,"Harnett County, NC",86.50030591731492,13.49969408268508
40737,5782,Total,"Haywood County, NC",87.57067004879727,12.429329951202734
10511,604,Under 18,"Haywood County, NC",94.56590193432298,5.434098065677013
11768,2689,18 to 40 years,"Haywood County, NC",81.4000138341288,18.599986165871204
6274,1061,40 to 50 years,"Haywood County, NC",85.53510565780505,14.464894342194956
12184,1428,50 to 64 years,"Haywood County, NC",89.50925653834851,10.490743461651483
73326,12599,Total,"Henderson County, NC",85.33721268548152,14.662787314518475
20297,1345,Under 18,"Henderson County, NC",93.78523241844562,6.214767581554385
20262,5774,18 to 40 years,"Henderson County, NC",77.82301428790905,22.17698571209095
11344,2343,40 to 50 years,"Henderson County, NC",82.88156644991598,17.11843355008402
21423,3137,50 to 64 years,"Henderson County, NC",87.2271986970684,12.772801302931596
13927,2196,Total,"Hertford County, NC",86.37970601004776,13.620293989952241
3965,198,Under 18,"Hertford County, NC",95.24381455681,4.756185443190007
4026,1015,18 to 40 years,"Hertford County, NC",79.86510612973616,20.134893870263838
1860,343,40 to 50 years,"Hertford County, NC",84.43032228778938,15.569677712210622
4076,640,50 to 64 years,"Hertford County, NC",86.42917726887192,13.570822731128075
40085,7934,Total,"Hoke County, NC",83.47737353964055,16.52262646035944
13562,919,Under 18,"Hoke County, NC",93.6537531938402,6.346246806159796
13492,4358,18 to 40 years,"Hoke County, NC",75.58543417366947,24.41456582633053
5281,1375,40 to 50 years,"Hoke County, NC",79.34194711538461,20.658052884615383
7750,1282,50 to 64 years,"Hoke County, NC",85.80602302922941,14.193976970770594
2792,562,Total,"Hyde County, NC",83.24388789505069,16.756112104949313
742,64,Under 18,"Hyde County, NC",92.05955334987593,7.94044665012407
730,224,18 to 40 years,"Hyde County, NC",76.51991614255765,23.48008385744235
426,114,40 to 50 years,"Hyde County, NC",78.88888888888889,21.11111111111111
894,160,50 to 64 years,"Hyde County, NC",84.81973434535104,15.180265654648956
132513,19485,Total,"Iredell County, NC",87.18075237832076,12.819247621679233
38366,2427,Under 18,"Iredell County, NC",94.05044983207904,5.949550167920967
38992,8610,18 to 40 years,"Iredell County, NC",81.9125246838368,18.087475316163186
21091,4008,40 to 50 years,"Iredell County, NC",84.03123630423522,15.968763695764771
34064,4440,50 to 64 years,"Iredell County, NC",88.46873052150426,11.53126947849574
24991,5921,Total,"Jackson County, NC",80.84562629399586,19.15437370600414
6466,580,Under 18,"Jackson County, NC",91.76837922225376,8.231620777746238
8362,3031,18 to 40 years,"Jackson County, NC",73.39594487843412,26.604055121565874
3549,1015,40 to 50 years,"Jackson County, NC",77.76073619631902,22.23926380368098
6614,1295,50 to 64 years,"Jackson County, NC",83.62624857756985,16.373751422430143
153111,25998,Total,"Johnston County, NC",85.48481650838316,14.515183491616837
48894,2958,Under 18,"Johnston County, NC",94.29530201342281,5.704697986577181
44028,12292,18 to 40 years,"Johnston County, NC",78.1747159090909,21.82528409090909
24802,5736,40 to 50 years,"Johnston County, NC",81.21684458707185,18.783155412928156
35387,5012,50 to 64 years,"Johnston County, NC",87.593752320602,12.406247679398005
5791,1226,Total,"Jones County, NC",82.52814593130968,17.471854068690323
1524,118,Under 18,"Jones County, NC",92.81364190012181,7.1863580998781975
1570,562,18 to 40 years,"Jones County, NC",73.63977485928706,26.360225140712945
816,209,40 to 50 years,"Jones County, NC",79.60975609756098,20.390243902439025
1881,337,50 to 64 years,"Jones County, NC",84.80613165013526,15.193868349864744
42348,8032,Total,"Lee County, NC",84.0571655418817,15.9428344581183
